序號,問題分類,問題,答案
3,新人入職相關,想詢問去年新進外勤員工有誰是自備電腦，可否提供名單?,可以，發信告知人資單位申請原由。
4,新人入職相關,待報到同仁詢問沒打過疫苗需要附小黃卡嗎?,報到當天告知承辦人員即可。
5,新人入職相關,待報到同仁詢問外籍生報到繳交資料是否與本國人一樣?,除到職前需有外國人工作證之外，其餘一樣。
6,打卡 (班別、系統、異常處理),春節加班政策是怎麼樣?,每年依照12月發布的信件公告為主，113年度春節加班與其它月份一致，依照班表為主，例:排休息日與國定假日可申請加班，排N09為正常上班日，不可申請加班。
7,打卡 (班別、系統、異常處理),總統大選排班加班規則是什麼?,當天排班同仁統一排休，有進公司上班則需上HR系統填寫加班申請單。
8,打卡 (班別、系統、異常處理),我們1/1（一）因為有副總統辯論會，所以外勤全停休，那這天遇到幾個平常休日一的，要停休回來上班，那他們的元旦上班應該要怎處理?,建議可以上調班異動單，跟正常上班日作對調，若無法調班者，當天沒有連7上班，則可申請加班。
9,打卡 (班別、系統、異常處理),例假日上班了怎麼辦?,在考勤關帳前至HR系統填寫調班單，例假日務必不能上班。
10,打卡 (班別、系統、異常處理),要調整班表一直沒辦法重匯成功，系統一直匯入異常怎麼辦?,先排除畫面所示的異常訊息，若仍然無法匯入，請將異常訊息畫面截圖給人資單位進行確認處理。
11,打卡 (班別、系統、異常處理),卡鐘異常假日上班同仁打卡整片紅字怎麼辦?,與人資單位反應，會先更新系統，若有異常會全公司員工統一異常，將一併排除。
12,打卡 (班別、系統、異常處理),請假幾天會簽到陳總關卡?,系統依照簽核權限表進行簽核流程，一般員工不會到陳總。
13,打卡 (班別、系統、異常處理),早班的上班時間如果要調整為08:30-17:30，就是提前半小時，需要有什麼程序嗎，因為涉及打卡問題。,先確認是否有此班別，若沒有需要上簽呈增設新班別，若已有此班別，可由單位長官發信通知人資單位並cc部門長官
14,打卡 (班別、系統、異常處理),產檢假特殊日期要填什麼?,產檢第一天開始的日期
15,打卡 (班別、系統、異常處理),特休的天數第一年7天，何時會有加?  5年?,年資滿半年3天，滿1年7天，滿2年10天，HR系統可查詢到現有特休天數
16,打卡 (班別、系統、異常處理),因為我要去大陸出差，有關這些天的排班問題想要請教一下。我HR系統是一樣照紅休，然後再額外請「國外出差」假別嗎？這樣是不是就不會有上下班打卡的問題了？,排正常上班天數需至HR系統填國外出差單，否則系統會出現考勤異常，有上單則不需進公司打卡。
17,打卡 (班別、系統、異常處理),國外出差是一定要事前送單嗎?,是的，因公司稽核有要求一定要事前請假，若真的來不及事前上班也務必當天透過手機app填單
18,打卡 (班別、系統、異常處理),總統大選當天加班申請單無法送出?,先排除畫面所示的異常訊息，若仍然無法申請，請將畫面截圖給人資單位進行確認處理。
19,打卡 (班別、系統、異常處理),連續上班7天系統無法申請加班怎麼辦?,"請先進行班表調整,若實在動無可動，需與人資單位聯繫，進行個案處理。"
20,打卡 (班別、系統、異常處理),外勤記者不需要打卡，要怎麼申請加班?,先上HR系統填寫線上補卡單，待補卡單通過，系統會有考勤時數，在上加班單申請。
21,打卡 (班別、系統、異常處理),加班單怎麼填寫?,上HR系統填寫加班申請單，加班需填寫加班時的工作內容或專案名稱。
22,打卡 (班別、系統、異常處理),線上補卡單怎麼填寫?,上HR系統填寫線上補卡單，依照申請類別不同，有不同注意事項。
